package	version	architecture	installed_size_kib	match
libcc1-0:arm64	14.2.0-19	arm64	208	exact
libcom-err2:arm64	1.47.2-3+b3	arm64	112	exact
libcrypt-dev:arm64	1:4.4.38-1	arm64	352	exact
libcrypt1:arm64	1:4.4.38-1	arm64	227	exact
libcryptsetup12:arm64	2:2.7.5-2	arm64	652	exact
libctf-nobfd0:arm64	2.44-3	arm64	342	exact
libctf0:arm64	2.44-3	arm64	276	exact
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u2	arm64	1021	exact
libcurl4t64:arm64	8.14.1-2+deb13u2	arm64	1016	exact
libdaemon0:arm64	0.14-7.1+b3	arm64	84	exact
libdb5.3t64:arm64	5.3.28+dfsg2-9	arm64	1775	exact
libdbus-1-3:arm64	1.16.2-2	arm64	489	exact
libdconf1:arm64	0.40.0-5	arm64	164	exact
libdebconfclient0:arm64	0.280	arm64	90	exact
libdebuginfod-common	0.192-4	all	52	exact
libdebuginfod1t64:arm64	0.192-4	arm64	101	exact
libdeflate0:arm64	1.23-2	arm64	146	exact
libdevmapper1.02.1:arm64	2:1.02.205-2	arm64	565	exact
libdouble-conversion3:arm64	3.3.1-1	arm64	156	exact
libdpkg-perl	1.22.21	all	2089	exact
libdrm-common	2.4.124-2	all	45	exact
libdrm2:arm64	2.4.124-2	arm64	168	exact
libdtovl0:arm64	20251120-1	arm64	87	exact
libduktape207:arm64	2.7.0-2+b2	arm64	347	exact
libdvdread8t64:arm64	6.1.3-2	arm64	191	exact
libdw1t64:arm64	0.192-4	arm64	817	exact
libeatmydata1:arm64	131-2+b1	arm64	87	exact
libebml5:arm64	1.4.5-1+b1	arm64	212	exact
libedit2:arm64	3.1-20250104-1	arm64	306	exact
libelf1t64:arm64	0.192-4	arm64	1244	exact
libexif12:arm64	0.6.25-1	arm64	2866	exact
libexpat1:arm64	2.7.1-2	arm64	440	exact
libext2fs2t64:arm64	1.47.2-3+b3	arm64	597	exact
libfakeroot:arm64	1.37.1.1-1	arm64	165	exact
libfdisk1:arm64	2.41-5	arm64	652	exact
libfdt1:arm64	1.7.2-2+b1	arm64	87	exact
libffi8:arm64	3.4.8-2	arm64	92	exact
libfftw3-single3:arm64	3.3.10-2+b1	arm64	1384	exact
libfido2-1:arm64	1.15.0-1+b1	arm64	287	exact
libfile-fcntllock-perl	0.22-4+b4	arm64	182	exact
libflac14:arm64	1.5.0+ds-2	arm64	447	exact
libfmt10:arm64	10.1.1+ds1-4	arm64	283	exact
libftdi1-2:arm64	1.5-10	arm64	97	exact
libfuse3-4:arm64	3.17.2-3	arm64	377	exact
libgcc-14-dev:arm64	14.2.0-19	arm64	15555	exact
libgcc-s1:arm64	14.2.0-19	arm64	148	exact
libgcrypt20:arm64	1.11.0-7	arm64	1522	exact
libgdbm-compat4t64:arm64	1.24-2	arm64	127	exact
libgdbm6t64:arm64	1.24-2	arm64	194	exact
libglib2.0-0t64:arm64	2.84.4-3~deb13u1	arm64	4985	exact
libglib2.0-data	2.84.4-3~deb13u1	all	9830	exact
libgmp10:arm64	2:6.3.0+dfsg-3	arm64	846	exact
libgnutls30t64:arm64	3.8.9-3	arm64	3686	exact
libgomp1:arm64	14.2.0-19	arm64	352	exact
libgpg-error-l10n	1.51-4	all	635	exact
libgpg-error0:arm64	1.51-4	arm64	236	exact
libgpgme11t64:arm64	1.24.2-3	arm64	629	exact
libgpiod3:arm64	2.2.1-2+deb13u1	arm64	329	exact
